iter	Passed	Remaining
0	0	37
1	0	37
2	1	32
3	1	28
4	1	27
5	1	27
6	2	27
7	2	27
8	2	27
9	3	27
10	3	27
11	3	28
12	4	27
13	4	27
14	4	27
15	5	26
16	5	26
17	5	25
18	5	25
19	7	28
20	7	27
21	7	27
22	7	26
23	8	26
24	8	25
25	8	24
26	9	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	11	22
33	11	22
34	11	21
35	11	21
36	12	20
37	12	20
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	14	19
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	17
51	18	16
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	23	12
65	23	12
66	24	11
67	24	11
68	25	11
69	25	11
70	26	10
71	26	10
72	27	10
73	28	9
74	28	9
75	28	9
76	29	8
77	29	8
78	30	8
79	30	7
80	31	7
81	31	6
82	31	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	36	2
93	36	2
94	37	1
95	37	1
96	38	1
97	38	0
98	38	0
99	39	0
