iter	Passed	Remaining
0	61	61931
1	62	31119
2	62	20894
3	63	15761
4	63	12685
5	64	10634
6	64	9175
7	65	8073
8	65	7217
9	65	6526
10	66	5978
11	66	5507
12	67	5110
13	67	4767
14	68	4468
15	68	4216
16	68	3987
17	69	3782
18	69	3598
19	70	3434
20	70	3292
21	71	3160
22	71	3040
23	72	2939
24	72	2831
25	73	2735
26	73	2649
27	73	2563
28	74	2492
29	74	2418
30	75	2354
31	75	2293
32	76	2239
33	76	2181
34	77	2129
35	77	2076
36	78	2030
37	78	1985
38	78	1946
39	79	1907
40	79	1868
41	80	1830
42	80	1796
43	81	1763
44	81	1731
45	82	1702
46	82	1672
47	83	1646
48	83	1617
49	83	1591
50	84	1566
51	84	1543
52	84	1518
53	85	1497
54	85	1474
55	86	1453
56	86	1431
57	86	1411
58	87	1394
59	88	1380
60	88	1361
61	88	1344
62	89	1327
63	89	1310
64	90	1302
65	90	1286
66	91	1271
67	91	1255
68	92	1241
69	92	1230
70	93	1226
71	94	1213
72	94	1200
73	94	1186
74	95	1174
75	95	1161
76	96	1156
77	96	1145
78	97	1134
79	97	1124
80	98	1115
81	98	1104
82	98	1091
83	99	1084
84	99	1074
85	100	1068
86	101	1060
87	101	1052
88	101	1043
89	102	1036
90	103	1029
91	103	1024
92	104	1015
93	104	1009
94	105	1001
95	105	994
96	105	986
97	106	978
98	106	971
99	107	966
100	107	959
101	108	953
102	108	945
103	109	940
104	109	934
105	110	928
106	110	922
107	111	917
108	111	911
109	111	905
110	112	902
111	113	896
112	113	891
113	114	886
114	114	880
115	115	876
116	115	869
117	115	865
118	116	861
119	116	855
120	117	850
121	117	843
122	117	838
123	118	833
124	118	828
125	118	824
126	119	819
127	119	816
128	120	812
129	120	807
130	121	803
131	121	799
132	122	795
133	123	796
134	123	793
135	124	789
136	124	785
137	125	781
138	125	778
139	126	775
140	126	771
141	126	767
142	127	763
143	127	759
144	128	755
145	128	751
146	128	747
147	129	743
148	129	740
149	130	737
150	130	733
151	130	730
152	131	726
153	131	723
154	131	719
155	132	716
156	132	713
157	133	710
158	133	706
159	134	707
160	135	703
161	135	700
162	135	696
163	136	693
164	136	691
165	136	688
166	137	685
167	137	682
168	138	680
169	138	678
170	139	676
171	140	674
172	140	672
173	141	669
174	141	667
175	142	665
176	142	662
177	142	659
178	143	657
179	143	654
180	144	651
181	144	649
182	144	646
183	145	644
184	145	641
185	146	639
186	146	638
187	147	635
188	147	632
189	147	630
190	148	628
191	148	625
192	149	624
193	149	621
194	150	619
195	150	616
196	150	614
197	151	612
198	151	610
199	152	608
200	152	606
201	153	604
202	153	602
203	153	600
204	154	599
205	155	597
206	155	595
207	155	593
208	156	591
209	156	589
210	157	587
211	157	585
212	158	584
213	158	581
214	158	579
215	165	601
216	166	599
217	166	596
218	167	596
219	167	594
220	167	591
221	168	589
222	168	587
223	168	585
224	169	583
225	169	581
226	170	580
227	170	578
228	171	576
229	171	574
230	172	572
231	172	570
232	172	568
233	173	567
234	173	565
235	174	563
236	174	561
237	174	560
238	175	558
239	175	556
240	176	554
241	176	552
242	176	551
243	177	549
244	177	548
245	178	546
246	178	544
247	178	542
248	179	540
249	179	539
250	180	537
251	180	536
252	181	535
253	181	533
254	182	532
255	182	531
256	183	529
257	183	528
258	184	526
259	184	525
260	185	523
261	185	522
262	186	521
263	186	520
264	186	518
265	187	517
266	187	515
267	188	514
268	188	512
269	188	510
270	189	509
271	189	508
272	190	506
273	190	505
274	191	504
275	191	502
276	192	501
277	192	499
278	192	498
279	193	497
280	193	496
281	194	494
282	194	493
283	195	491
284	195	490
285	195	488
286	196	487
287	196	486
288	197	484
289	197	483
290	197	482
291	198	480
292	198	479
293	199	478
294	199	477
295	200	475
296	200	474
297	201	473
298	201	472
299	202	471
300	202	470
301	203	469
302	203	468
303	203	466
304	204	465
305	204	464
306	205	463
307	205	462
308	206	460
309	206	459
310	206	458
311	207	457
312	207	455
313	208	454
314	208	453
315	209	452
316	209	451
317	209	450
318	210	449
319	210	447
320	211	446
321	211	445
322	212	444
323	212	443
324	213	442
325	213	441
326	214	440
327	214	439
328	214	438
329	215	437
330	215	436
331	216	436
332	217	435
333	217	433
334	217	432
335	218	431
336	219	430
337	219	429
338	219	428
339	220	427
340	220	426
341	221	425
342	221	424
343	222	423
344	222	422
345	222	421
346	223	420
347	223	419
348	224	418
349	224	417
350	225	416
351	225	415
352	225	414
353	226	413
354	226	412
355	227	411
356	227	409
357	228	409
358	228	408
359	228	407
360	229	406
361	230	405
362	230	404
363	230	403
364	231	402
365	231	401
366	232	400
367	232	399
368	233	399
369	233	398
370	234	397
371	234	396
372	235	395
373	235	394
374	235	393
375	236	392
376	236	391
377	237	390
378	237	389
379	238	388
380	238	387
381	239	387
382	239	386
383	240	385
384	240	384
385	241	383
386	241	382
387	241	381
388	242	380
389	242	379
390	243	378
391	243	377
392	243	376
393	244	375
394	244	375
395	245	374
396	245	373
397	246	372
398	246	371
399	246	370
400	247	369
401	247	368
402	248	367
403	248	366
404	249	365
405	249	364
406	249	364
407	250	363
408	250	362
409	251	361
410	251	360
411	252	359
412	252	359
413	253	358
414	253	357
415	253	356
